CATE_real,CATE_estimado,cubre
4,3.89982946189816,1
4,3.89065734896553,1
4,3.88697264204484,1
4,3.87422758962583,1
4,3.90194607000429,1
4,3.90600478580794,1
4,3.89203940287205,1
4,3.87887232595928,1
4,3.89697400995012,1
4,3.89000670780275,1
4,3.97905138282043,1
4,3.88322060228357,1
4,3.88025833294704,1
4,3.98724302130721,1
4,3.98876632759003,1
4,3.88167841515042,1
4,3.97347965760237,1
4,3.90283735658976,1
4,3.90390570235765,1
4,3.87989500406378,1
4,3.89697400995012,1
4,3.87765483100624,1
4,3.96149790193374,1
4,3.97291447036436,1
4,3.88661830506202,1
4,3.98365301707324,1
4,3.98497496247994,1
4,3.89388179650709,1
4,3.9678847764403,1
4,3.97824391184896,1
4,3.99018051057665,1
4,3.88916616117762,1
4,3.98445582839443,1
4,3.96185346018147,1
4,3.96881990276333,1
4,3.89808433135561,1
4,3.97418638295817,1
4,3.96400217779568,1
4,3.98242607510295,1
4,3.98684144184655,1
4,3.89764446093576,1
4,3.86171078206753,1
4,3.96153636312847,1
4,3.87957032802437,1
4,3.90090311121667,1
4,3.89795555160225,1
4,3.98465825954312,1
4,3.88845973325707,1
4,3.90408953098594,1
4,3.85871822592046,1
4,3.90417406237345,1
4,3.89892416185656,1
4,3.88700970894798,1
4,3.96706349116821,1
4,3.97224929179714,1
4,3.89596078300161,1
4,3.88102041027532,1
4,3.8801444953678,1
4,3.96875878234954,1
4,3.87314288223951,1
4,3.89547564420325,1
4,3.88539320466219,1
4,3.87614038215844,1
4,3.98023458915423,1
4,3.89696689419985,1
4,3.9844424182262,1
4,3.8738056678621,1
4,3.89503965406875,1
4,3.92711123613716,1
4,3.88639501273904,1
4,3.96301063551581,1
4,3.88129863706115,1
4,3.93367893394978,1
4,3.88561978393612,1
4,3.89391400240783,1
4,3.88509583530307,1
4,3.88418103315475,1
4,3.89220321936845,1
4,3.90321727008629,1
4,3.88718209496341,1
4,3.89611819553672,1
4,3.89445797338435,1
4,3.89351242294716,1
4,3.89163970855714,1
4,3.97411686357335,1
4,3.89014041035726,1
4,3.90004204511005,1
4,3.87168255704519,1
4,3.89020645398805,1
4,3.88659515058167,1
4,3.98230136619956,1
4,3.88835796318656,1
4,3.88689535847407,1
4,3.89216961038154,1
4,3.96353016651209,1
4,3.89631520865951,1
4,3.87753176583899,1
4,3.8815965001812,1
4,3.89816311759988,1
4,3.89115363730577,1
4,3.96061437948686,1
4,3.96240821031191,1
4,3.88552244652494,1
4,3.89011075223358,1
4,3.95737851638785,1
4,3.95873858051146,1
4,3.96238540240482,1
4,3.96641962683074,1
4,3.94102282425372,1
4,3.89360409159632,1
4,3.97169856265983,1
4,3.90480704297153,1
4,3.89546024368144,1
4,3.89391400240783,1
4,3.88009475024908,1
4,3.88150828527338,1
4,3.89655903123502,1
4,3.96875378287174,1
4,3.89885960750173,1
4,3.97992038925188,1
4,3.87037853557497,1
4,3.9611878005257,1
4,3.98183484035253,1
4,3.89147097253021,1
4,3.97126032469425,1
4,3.89184876702587,1
4,3.89419662569014,1
4,3.88462315557738,1
4,3.89585283541764,1
4,3.95636361539787,1
4,3.96103629571732,1
4,3.88822939348194,1
