CATE_real,CATE_estimado,cubre
4,3.85490320653529,1
4,3.88124303077052,1
4,3.71922837238844,0
4,3.85487499287964,1
4,3.94759429199921,1
4,3.93550593227388,1
4,3.9706975634768,1
4,3.87015703916419,1
4,3.92955620843018,1
4,3.82321859741519,1
4,4.03802883645578,1
4,3.65564571745661,0
4,3.86265091328331,1
4,3.97100917100614,1
4,4.16002346437025,1
4,3.95797621651198,1
4,4.15295100632603,1
4,3.98916575951465,1
4,4.03583991674382,1
4,3.8879796989536,1
4,3.96863037966612,1
4,3.95172104637671,1
4,4.12113972574537,1
4,4.05906285578259,1
4,3.93623252013751,1
4,4.22261894707989,1
4,4.28088216008532,1
4,4.00934778738651,1
4,4.05286347215174,1
4,4.18859970960934,1
4,4.11344039928655,1
4,3.7970493922346,1
4,4.28865480672331,1
4,4.01260150052172,1
4,3.96519011558327,1
4,3.90083645794146,1
4,3.84787027480663,1
4,3.91008753618189,1
4,4.28041276216295,1
4,4.20974081285887,0
4,3.92863425247412,1
4,3.72384176522461,0
4,3.96667798323974,1
4,3.81259563448473,1
4,3.96776997300101,1
4,3.85780179369536,1
4,4.10719917393062,1
4,3.87544944061011,1
4,4.02974870366007,1
4,3.95920637284511,1
4,3.99802000121479,1
4,3.87452522106937,1
4,3.76411686552374,0
4,3.90109328014614,1
4,3.98704432845493,1
4,3.81833851378144,1
4,3.72767687584966,0
4,3.91018297487236,1
4,4.16052471416546,1
4,3.85419718161998,1
4,3.75658377337393,1
4,3.70203581420741,1
4,3.60582894144243,1
4,4.09342287544214,1
4,3.81495097898042,1
4,4.22188392858388,1
4,3.719333226535,1
4,3.80916064126825,1
4,3.89599352808515,1
4,3.96565693915036,1
4,4.01619381618479,1
4,3.70520155724779,1
4,3.99856295759574,1
4,3.81017376364485,1
4,3.8072080195763,1
4,3.91926146876969,1
4,3.73370165487886,1
4,3.92496663090059,1
4,4.00015653321722,1
4,3.71587228650331,1
4,3.87322738252016,1
4,3.83863828988793,1
4,3.93751353949113,1
4,3.94341879071031,1
4,3.9994812749194,1
4,3.64061819855947,0
4,4.00394904514951,1
4,3.98486681851997,1
4,3.83303370614668,1
4,3.88438864022647,1
4,4.09482549789021,1
4,3.83627837035552,1
4,3.99237391985757,1
4,3.93830137844336,1
4,3.91482790014509,1
4,3.77756684181596,1
4,3.80568618280869,1
4,3.95545421907578,1
4,3.87576868164216,1
4,3.72397852734787,1
4,3.79269971033773,1
4,4.03835273869417,1
4,3.74735708730067,1
4,3.78729859404298,1
4,4.00456013650973,1
4,3.94998830786655,1
4,3.90143533270437,1
4,3.95082827150748,1
4,4.00029694327503,1
4,3.97931497669962,1
4,4.1474682787311,1
4,3.89273496412199,1
4,3.85118200813267,1
4,3.78654728125689,1
4,3.874472506253,1
4,3.83834704241642,1
